period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	annis83	1984		27.0	1.0	26.0	0.037037037037037035	0.9629629629629629
	Beckah82	1983		305.0	80.0	225.0	0.26229508196721313	0.7377049180327869
	Kampis	1988		9.0	4.0	5.0	0.4444444444444444	0.5555555555555556
	Malo	1982		23.0	1.0	22.0	0.043478260869565216	0.9565217391304348
	Fe73	1974		80.0	3.0	77.0	0.0375	0.9625
	Alfonsina	1978		150.0	124.0	26.0	0.8266666666666667	0.17333333333333334
	mamita64	1965		100.0	81.0	19.0	0.81	0.19
	Tittij	1978		130.0	10.0	120.0	0.07692307692307693	0.9230769230769231
	FreeForAll	1984		139.0	11.0	128.0	0.07913669064748201	0.920863309352518
	kmp	1971		9.0	4.0	5.0	0.4444444444444444	0.5555555555555556
	romlen	1976		8.0	6.0	2.0	0.75	0.25
	Smurfan JM	1986		31.0	4.0	27.0	0.12903225806451613	0.8709677419354839
	Sadie	1984		68.0	35.0	33.0	0.5147058823529411	0.4852941176470588
	pumpkinpie	1984		57.0	39.0	18.0	0.6842105263157895	0.3157894736842105
	annelie80	1981		21.0	2.0	19.0	0.09523809523809523	0.9047619047619048
	Chokladpinglan	1985		68.0	8.0	60.0	0.11764705882352941	0.8823529411764706
	mimbo	1977		16.0	0.0	16.0	0.0	1.0
	cid	1985		58.0	8.0	50.0	0.13793103448275862	0.8620689655172413
	Örnie	1963		46.0	39.0	7.0	0.8478260869565217	0.15217391304347827
	marysoul	1988		27.0	2.0	25.0	0.07407407407407407	0.9259259259259259
	musli	1972		147.0	93.0	54.0	0.6326530612244898	0.3673469387755102
	Mylla	1980		20.0	8.0	12.0	0.4	0.6
	ninaaw	1991		16.0	9.0	7.0	0.5625	0.4375
	Mysanochmimer	1986		30.0	1.0	29.0	0.03333333333333333	0.9666666666666667
	MrsCD	1981		179.0	8.0	171.0	0.0446927374301676	0.9553072625698324
	Lovva	1987		9.0	3.0	6.0	0.3333333333333333	0.6666666666666666
	Horst	1976		38.0	32.0	6.0	0.8421052631578947	0.15789473684210525
	Smilla1976	1977		59.0	51.0	8.0	0.864406779661017	0.13559322033898305
	Trollungen08	1985		27.0	6.0	21.0	0.2222222222222222	0.7777777777777778
	Anova	1979		128.0	57.0	71.0	0.4453125	0.5546875
	Tjoflöjt	1982		26.0	25.0	1.0	0.9615384615384616	0.038461538461538464
	hemljuvahem	1986		52.0	16.0	36.0	0.3076923076923077	0.6923076923076923
	Snutten	1981		26.0	26.0	0.0	1.0	0.0
	En glad tjej	1979		89.0	1.0	88.0	0.011235955056179775	0.9887640449438202
	solskina	1971		105.0	89.0	16.0	0.8476190476190476	0.1523809523809524
	kixan	1982		18.0	10.0	8.0	0.5555555555555556	0.4444444444444444
	Lady Blue	1984		7.0	1.0	6.0	0.14285714285714285	0.8571428571428571
	Fraggelgirl	1981		106.0	19.0	87.0	0.1792452830188679	0.8207547169811321
	Bina86	1987		32.0	25.0	7.0	0.78125	0.21875
	hotten	1975		34.0	28.0	6.0	0.8235294117647058	0.17647058823529413
	Sazee	1990		51.0	0.0	51.0	0.0	1.0
	AnnaKlara	1971		61.0	22.0	39.0	0.36065573770491804	0.639344262295082
	Disco	1980		39.0	22.0	17.0	0.5641025641025641	0.4358974358974359
	Min högsta önskan	1979		76.0	61.0	15.0	0.8026315789473685	0.19736842105263158
	Mrs TH	1980		82.0	73.0	9.0	0.8902439024390244	0.10975609756097561
	Azusephre	1988		33.0	0.0	33.0	0.0	1.0
	Charlotte1987	1988		16.0	7.0	9.0	0.4375	0.5625
	Midwinter	1984		34.0	2.0	32.0	0.058823529411764705	0.9411764705882353
	pysselmajjo	1983		14.0	4.0	10.0	0.2857142857142857	0.7142857142857143
	Sacre	1985		3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
	Norpan81	1982		46.0	11.0	35.0	0.2391304347826087	0.7608695652173914
	Konvaljen	1985		45.0	37.0	8.0	0.8222222222222222	0.17777777777777778
	ajmaj	1975		37.0	0.0	37.0	0.0	1.0
	grata	1978		7.0	7.0	0.0	1.0	0.0
	sommar barn	1980		6.0	6.0	0.0	1.0	0.0
	LokesMamma84	1985		15.0	12.0	3.0	0.8	0.2
	MammaTillEnPrins	1980		5.0	0.0	5.0	0.0	1.0
	Missariella	1980		7.0	6.0	1.0	0.8571428571428571	0.14285714285714285
	Sessan100	1981		28.0	3.0	25.0	0.10714285714285714	0.8928571428571429
	6kimpa6	1986		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
	Geshia	1981		81.0	3.0	78.0	0.037037037037037035	0.9629629629629629
	Mama Me	1977		93.0	93.0	0.0	1.0	0.0
	södermamman	1981		12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
	GashH	1987		50.0	11.0	39.0	0.22	0.78
	Rastafairy	1987		139.0	18.0	121.0	0.12949640287769784	0.8705035971223022
	angeni	1988		149.0	23.0	126.0	0.15436241610738255	0.8456375838926175
	Timmervik	1976		3.0	3.0	0.0	1.0	0.0
	hannis	1979		64.0	32.0	32.0	0.5	0.5
	biologic	1987		8.0	7.0	1.0	0.875	0.125
	saltflingan	1990		684.0	126.0	558.0	0.18421052631578946	0.8157894736842105
	Miisa	1984		72.0	2.0	70.0	0.027777777777777776	0.9722222222222222
	Uller	1977		39.0	38.0	1.0	0.9743589743589743	0.02564102564102564
	Happyness	1964		22.0	15.0	7.0	0.6818181818181818	0.3181818181818182
