period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	zitis81	1982		13.0	0.0	13.0	0.0	1.0
	Fantastic 4	1978		17.0	0.0	17.0	0.0	1.0
	Anna Lisa	1979		14.0	0.0	14.0	0.0	1.0
	Brodsmulan	1978		30.0	0.0	30.0	0.0	1.0
	Gojtan	1976		52.0	0.0	52.0	0.0	1.0
	Lindizz	1986		13.0	0.0	13.0	0.0	1.0
	MangaGirl	1978		10.0	0.0	10.0	0.0	1.0
	lilaemma	1981		21.0	0.0	21.0	0.0	1.0
	Mania x2	1978		87.0	0.0	87.0	0.0	1.0
	Linny79	1980		14.0	0.0	14.0	0.0	1.0
	GöteborgsTösen	1984		22.0	0.0	22.0	0.0	1.0
	IsaN	1974		40.0	0.0	40.0	0.0	1.0
	Dr Myo	1974		15.0	0.0	15.0	0.0	1.0
	kicki08	1978		124.0	0.0	124.0	0.0	1.0
	eyalee	1987		12.0	0.0	12.0	0.0	1.0
	esther	1966		11.0	0.0	11.0	0.0	1.0
	josse83	1984		43.0	0.0	43.0	0.0	1.0
	mumma84	1985		27.0	0.0	27.0	0.0	1.0
	AnAngel	1984		17.0	0.0	17.0	0.0	1.0
	Summer	1980		13.0	0.0	13.0	0.0	1.0
	chazbo	1979		11.0	0.0	11.0	0.0	1.0
	Änglaflickan	1983		12.0	0.0	12.0	0.0	1.0
	MammaAlex	1984		27.0	0.0	27.0	0.0	1.0
	Sockiplast	1980		12.0	0.0	12.0	0.0	1.0
	Kerstin	1985		132.0	0.0	132.0	0.0	1.0
	bakabakalitenkaka	1979		19.0	0.0	19.0	0.0	1.0
	annie dark	1977		25.0	0.0	25.0	0.0	1.0
	Purelyplatonic	1980		20.0	0.0	20.0	0.0	1.0
	dubbelt upp	1980		12.0	0.0	12.0	0.0	1.0
	Mysan31	1981		21.0	0.0	21.0	0.0	1.0
	lilllinda	1983		35.0	0.0	35.0	0.0	1.0
	nikki2006	1967		94.0	0.0	94.0	0.0	1.0
	Ninnis75	1976		15.0	0.0	15.0	0.0	1.0
	ceropegia	1983		30.0	0.0	30.0	0.0	1.0
	Hanna01	1988		11.0	0.0	11.0	0.0	1.0
	Thesso	1991		16.0	0.0	16.0	0.0	1.0
	skånegås	1982		13.0	0.0	13.0	0.0	1.0
	popcornplaya	1986		25.0	0.0	25.0	0.0	1.0
	Cerulean	1980		23.0	0.0	23.0	0.0	1.0
	lilla snöflingan	1988		13.0	0.0	13.0	0.0	1.0
	Balooba	1979		14.0	0.0	14.0	0.0	1.0
	EnormLängtan	1991		16.0	0.0	16.0	0.0	1.0
	Adora1	1980		17.0	0.0	17.0	0.0	1.0
	mammailund85	1986		15.0	0.0	15.0	0.0	1.0
	crocco	1983		15.0	0.0	15.0	0.0	1.0
	mw24	1986		20.0	0.0	20.0	0.0	1.0
	cookie8409	1985		22.0	0.0	22.0	0.0	1.0
	Fossa	1989		13.0	0.0	13.0	0.0	1.0
	Tizzan	1984		17.0	0.0	17.0	0.0	1.0
	Kristin85	1986		24.0	0.0	24.0	0.0	1.0
	MiieRO	1981		28.0	0.0	28.0	0.0	1.0
	ingridlinnéa	1983		11.0	0.0	11.0	0.0	1.0
	Tussebus	1977		10.0	0.0	10.0	0.0	1.0
	Mållgan	1982		23.0	0.0	23.0	0.0	1.0
	gulligavera	1984		15.0	0.0	15.0	0.0	1.0
	Maddolf	1979		15.0	0.0	15.0	0.0	1.0
	s89	1990		21.0	0.0	21.0	0.0	1.0
	familjemamma	1975		11.0	0.0	11.0	0.0	1.0
	deam	1987		21.0	0.0	21.0	0.0	1.0
	septemberängel	1981		12.0	0.0	12.0	0.0	1.0
	Shigo	1983		13.0	0.0	13.0	0.0	1.0
	LokesMammi	1982		22.0	0.0	22.0	0.0	1.0
	babydeluxe	1983		20.0	0.0	20.0	0.0	1.0
	mkp	1989		10.0	0.0	10.0	0.0	1.0
	Lovergirl80	1980		13.0	0.0	13.0	0.0	1.0
	Kultis	1981		18.0	0.0	18.0	0.0	1.0
	Josephina	1985		10.0	0.0	10.0	0.0	1.0
	lo800	1978		11.0	0.0	11.0	0.0	1.0
	lire100	1974		20.0	0.0	20.0	0.0	1.0
	MissHellen	1984		16.0	0.0	16.0	0.0	1.0
	majsan2	1981		12.0	0.0	12.0	0.0	1.0
	Mammelutten	1972		17.0	0.0	17.0	0.0	1.0
	UmmAminah	1985		45.0	0.0	45.0	0.0	1.0
	blehnda	1988		17.0	0.0	17.0	0.0	1.0
	Med två små	1981		11.0	0.0	11.0	0.0	1.0
	Second adventure	1985		10.0	0.0	10.0	0.0	1.0
	Baypower	1977		30.0	0.0	30.0	0.0	1.0
	Mary84	1985		11.0	0.0	11.0	0.0	1.0
	Lovi	1981		15.0	0.0	15.0	0.0	1.0
	ernlia03	1980		20.0	0.0	20.0	0.0	1.0
	budde1	1974		16.0	0.0	16.0	0.0	1.0
	Milon	1979		18.0	0.0	18.0	0.0	1.0
	aigee	1978		18.0	0.0	18.0	0.0	1.0
	Maskot	1971		10.0	0.0	10.0	0.0	1.0
	kjempejente	1972		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	Heavy	1980		18.0	0.0	18.0	0.0	1.0
	Kat the bat	1986		13.0	0.0	13.0	0.0	1.0
	Myra	1973		100.0	0.0	100.0	0.0	1.0
	mammiz83	1984		27.0	0.0	27.0	0.0	1.0
	mariem	1983		14.0	0.0	14.0	0.0	1.0
	Pix	1966		15.0	0.0	15.0	0.0	1.0
	Kyssen	1984		40.0	0.0	40.0	0.0	1.0
	Trollvinter	1984		17.0	0.0	17.0	0.0	1.0
	Siljelin	1979		21.0	0.0	21.0	0.0	1.0
	Sowa	1980		25.0	0.0	25.0	0.0	1.0
	Bal	1984		12.0	0.0	12.0	0.0	1.0
	solrosen81	1982		11.0	0.0	11.0	0.0	1.0
	Alfaqueen	1977		14.0	0.0	14.0	0.0	1.0
	MG1981	1982		11.0	0.0	11.0	0.0	1.0
	Sockerkakan	1978		15.0	0.0	15.0	0.0	1.0
	Sofiech78	1979		40.0	0.0	40.0	0.0	1.0
	Chiliräkan	1987		18.0	0.0	18.0	0.0	1.0
	Josefin L	1980		16.0	0.0	16.0	0.0	1.0
	Fangoria	1982		21.0	0.0	21.0	0.0	1.0
	PurJo	1983		28.0	0.0	28.0	0.0	1.0
	dreamy	1981		15.0	0.0	15.0	0.0	1.0
	Miniluvan	1976		29.0	0.0	29.0	0.0	1.0
	Emeliee	1981		33.0	0.0	33.0	0.0	1.0
	nr1	1979		12.0	0.0	12.0	0.0	1.0
	joyride	1983		12.0	0.0	12.0	0.0	1.0
	Miffy	1982		12.0	0.0	12.0	0.0	1.0
	Zorn	1971		17.0	0.0	17.0	0.0	1.0
	Catja3	1982		13.0	0.0	13.0	0.0	1.0
	Solrosen82	1983		20.0	0.0	20.0	0.0	1.0
	Indra78	1979		17.0	0.0	17.0	0.0	1.0
	Wilmisen	1986		18.0	0.0	18.0	0.0	1.0
	Mrs B	1984		12.0	0.0	12.0	0.0	1.0
	sydney	1978		21.0	0.0	21.0	0.0	1.0
	Bowmore	1971		11.0	0.0	11.0	0.0	1.0
	Lucie	1978		19.0	0.0	19.0	0.0	1.0
	Alfalfafrö	1987		16.0	0.0	16.0	0.0	1.0
	SA25	1984		17.0	0.0	17.0	0.0	1.0
	MiniStumpan	1983		14.0	0.0	14.0	0.0	1.0
	timoteja00	1983		19.0	0.0	19.0	0.0	1.0
	guld lock	1982		10.0	0.0	10.0	0.0	1.0
	Fru Wennerström	1987		29.0	0.0	29.0	0.0	1.0
	daKi	1989		13.0	0.0	13.0	0.0	1.0
	aquarius87	1988		15.0	0.0	15.0	0.0	1.0
	LKM	1988		16.0	0.0	16.0	0.0	1.0
	Izzies matte	1986		10.0	0.0	10.0	0.0	1.0
	katzon	1982		10.0	0.0	10.0	0.0	1.0
	Bubbly	1987		12.0	0.0	12.0	0.0	1.0
	Cherkan	1979		10.0	0.0	10.0	0.0	1.0
	Pilu	1983		10.0	0.0	10.0	0.0	1.0
	Inanna Li	1969		18.0	0.0	18.0	0.0	1.0
	Caroliine85	1986		13.0	0.0	13.0	0.0	1.0
