speaker	yob	behagav1	behagav2	fortsättav1	fortsättav2	försökav1	försökav2	glömmav1	glömmav2	kommav1	kommav2	lovav1	lovav2	planerav1	planerav2	riskerav1	riskerav2	slippav1	slippav2	slutav1	slutav2	vägrav1	vägrav2
user1191	1986			0.0	1.0	0.0	5.0			5.0	12.0									0.0	1.0		
user1192	1989			0.0	1.0	0.0	7.0			9.0	8.0			1.0	0.0					0.0	1.0	0.0	2.0
user1193	1974			0.0	1.0	0.0	2.0	1.0	1.0	4.0	6.0			1.0	0.0			0.0	2.0	0.0	1.0	0.0	1.0
user1194	1989			0.0	1.0					0.0	8.0												
user1195	1989			0.0	1.0	0.0	9.0			1.0	8.0			2.0	0.0			0.0	1.0	0.0	3.0	0.0	3.0
user1196	1977			0.0	1.0					0.0	3.0			1.0	0.0								
user1197	1976			1.0	0.0	1.0	2.0			2.0	0.0									0.0	1.0		
user1198	1978			0.0	1.0	3.0	2.0			19.0	0.0							1.0	0.0	2.0	0.0		
user1199	1983			0.0	1.0			0.0	1.0	2.0	6.0							0.0	2.0				
user1200	1987			1.0	0.0	0.0	8.0	0.0	2.0	18.0	33.0	1.0	0.0					0.0	4.0	0.0	2.0	0.0	2.0
user1201	1989			1.0	0.0	0.0	1.0																
user1202	1986			1.0	0.0	0.0	5.0			5.0	14.0							1.0	3.0				
user1203	1984			0.0	1.0	0.0	8.0	0.0	2.0	3.0	6.0					1.0	0.0	0.0	2.0			0.0	1.0
user1204	1987			0.0	2.0	0.0	5.0			9.0	8.0									0.0	1.0		
user1205	1989			1.0	1.0	0.0	4.0	0.0	1.0	0.0	1.0							0.0	3.0	0.0	2.0		
user1206	1979			0.0	1.0					0.0	4.0			1.0	0.0					0.0	2.0		
user1207	1987			2.0	0.0	0.0	7.0	0.0	1.0	11.0	16.0							0.0	1.0	1.0	1.0	0.0	1.0
user1208	1983			0.0	2.0	0.0	11.0	0.0	1.0	8.0	30.0			1.0	0.0			0.0	3.0	1.0	4.0		
user1209	1987			1.0	0.0					5.0	0.0							0.0	1.0	0.0	1.0		
user1210	1984			0.0	1.0	4.0	4.0			27.0	2.0	1.0	0.0					0.0	1.0	1.0	2.0		
user1211	1985			1.0	0.0	0.0	8.0	0.0	1.0	3.0	14.0			36.0	0.0			0.0	3.0	0.0	6.0	0.0	1.0
user1212	1976			0.0	1.0	0.0	1.0			0.0	1.0									0.0	1.0		
user1213	1979			0.0	1.0	0.0	10.0			7.0	8.0							0.0	2.0	0.0	6.0		
user1214	1987			0.0	1.0	0.0	7.0			1.0	15.0							0.0	1.0				
