post_year	username	age	agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
2008	mandolin76	35	30--39	17	15	2	0	0.8823529412	0.1176470588	0
2009	mandolin76	36	30--39	53	48	5	0	0.9056603774	0.0943396226	0
2011	mandolin76	38	30--39	43	36	6	1	0.8372093023	0.1395348837	0.023255814
2012	mandolin76	39	30--39	25	11	2	12	0.44	0.08	0.48
2013	mandolin76	40	40--49	19	5	2	12	0.2631578947	0.1052631579	0.6315789474
2016	mandolin76	43	40--49	14	7	0	7	0.5	0	0.5
2011	Mandy1981	31	30--39	57	34	23	0	0.5964912281	0.4035087719	0
2012	Mandy1981	32	30--39	66	23	43	0	0.3484848485	0.6515151515	0
2005	maneten	37	30--39	52	46	6	0	0.8846153846	0.1153846154	0
2011	MangaGirl	35	30--39	15	9	6	0	0.6	0.4	0
2009	Mango Morsan	25	20--29	11	6	0	5	0.5454545455	0	0.4545454545
2007	Mania x2	31	30--39	17	15	2	0	0.8823529412	0.1176470588	0
2008	Mania x2	32	30--39	50	38	11	1	0.76	0.22	0.02
2011	Mania x2	35	30--39	28	20	8	0	0.7142857143	0.2857142857	0
2012	Mania x2	36	30--39	38	30	8	0	0.7894736842	0.2105263158	0
2014	manmanne	46	40--49	16	12	4	0	0.75	0.25	0
2005	Månskugga	25	20--29	16	12	4	0	0.75	0.25	0
2007	Månsson	39	30--39	17	11	3	3	0.6470588235	0.1764705882	0.1764705882
2011	Mantra	31	30--39	22	7	0	15	0.3181818182	0	0.6818181818
2012	Mantra	32	30--39	14	11	0	3	0.7857142857	0	0.2142857143
