year	speaker	innovativity	exposure_to_c	exposure_to_i
2021	Avsiktaren		0.0	0.0
2022	Avsiktaren		0.0	0.0
2000	plishaggmi		0.0	0.0
2001	plishaggmi		0.0	0.0
2002	plishaggmi		0.0	0.0
2003	plishaggmi		0.0	0.0
2004	plishaggmi		0.0	0.0
2005	plishaggmi		0.0	0.0
2006	plishaggmi		0.0	0.0
2007	plishaggmi		0.0	0.0
2008	plishaggmi		0.0	0.0
2009	plishaggmi		0.0	0.0
2010	plishaggmi		0.0	0.0
2011	plishaggmi		0.0	0.0
2012	plishaggmi		0.0	0.0
2013	plishaggmi		0.0	0.0
2014	plishaggmi	0.0	0.0	0.0
2015	plishaggmi		0.0	0.0
2016	plishaggmi		0.0	0.0
2017	plishaggmi		0.0	0.0
2018	plishaggmi		0.0	0.0
2019	plishaggmi		0.0	0.0
2020	plishaggmi		0.0	0.0
2021	plishaggmi		0.0	0.0
2022	plishaggmi		0.0	0.0
2000	Ayezan		0.0	0.0
2001	Ayezan		0.0	0.0
2002	Ayezan		0.0	0.0
2003	Ayezan		0.0	0.0
2004	Ayezan		0.0	0.0
2005	Ayezan		0.0	0.0
2006	Ayezan		0.0	0.0
2007	Ayezan		0.0	0.0
2008	Ayezan		0.0	0.0
2009	Ayezan		0.0	0.0
2010	Ayezan		0.0	0.0
2011	Ayezan		0.0	0.0
2012	Ayezan		0.0	0.0
2013	Ayezan		0.0	0.0
2014	Ayezan	1.0	0.0	0.0
2015	Ayezan		0.0	0.0
2016	Ayezan		0.0	0.0
2017	Ayezan		0.0	0.0
2018	Ayezan		0.0	0.0
2019	Ayezan		0.0	0.0
2020	Ayezan		0.0	0.0
2021	Ayezan		0.0	0.0
2022	Ayezan		0.0	0.0
2000	trevliggrabb		0.0	0.0
2001	trevliggrabb		0.0	0.0
2002	trevliggrabb		0.0	0.0
2003	trevliggrabb		0.0	0.0
2004	trevliggrabb		0.0	0.0
2005	trevliggrabb		0.0	0.0
2006	trevliggrabb		0.0	0.0
2007	trevliggrabb		0.0	0.0
2008	trevliggrabb		0.0	0.0
2009	trevliggrabb		0.0	0.0
2010	trevliggrabb		0.0	0.0
2011	trevliggrabb		0.0	0.0
