ID	Verb	Category_SAG	Att_present_SAG	Comment_SAG	Category_Lagervall	Att_present_Lagervall	Att_omission_Lagervall	Category_Bylin	Att_present_Bylin	Att_omission_Bylin	Category_Mjöberg	Att-present_Mjöberg	Category_Own	Variation_reported	Sample_Narrow_1	Sample_Narrow_2	Att_present_Familjeliv_2009	Att_Familjeliv_trend	Familjeliv_data
ID46	tänka	Intentionell	No		modalliknande_verb	11.5%	88.5%						Intentional	Yes	Include	Include			
ID11	tendera	Aktionell	Yes					aspektuell	97%	3%			Aspectual	Yes	Include	Include	94%	decrease	
ID191	tolerera	Värdering	Yes										Value	No	Include	Include			
ID169	töras	Potentiell	No		modalliknande_verb	0.0%	100.0%				ingen	No_without_exception	Potential	No	Include	Include			
ID138	torde	Epistemic	No		övriga_modala_verb	0.0%	100.0%						Modal	No	Include	Include			
ID135	tyckas	Epistemic	No								ingen	No_without_exception	Modal	No	Include	Include			
ID27	underlåta	Initiativ	Yes								ingen	Yes_but_omission_possible	Initiative	Yes	Include	Include			
ID28	undvika	Initiativ	Yes								ingen	Yes_but_omission_possible	Initiative	Yes	Include	Include			
ID2	upphöra	Aktionell	Yes										Aspectual	No	Include	Include	88%	stable	
ID174	våga	Potentiell	No		modalliknande_verb	0.5%	99.5%				modala_hjälpverb_frändskap	No_but_possible	Potential	Yes	Include	Include			
ID41	vägra	Intentionell	Optional								ingen	Optional	Intentional	Yes	Include	Include			
ID35	välja	Intentionell	Yes										Intentional	No	Include	Include			
ID17	vänta	Fruktan_mm	Optional								ingen	No_without_exception	Emotion	Yes	Include	Include	47%	increase	
ID147	verka	Epistemic	No			10.0%							Modal	Yes	Include	Include			
ID130	vilja	Intentionell	No		centrala_modala_hjälpverb	0.0%	100.0%				modala_hjälpverb_trängre_mening	No_without_exception	Modal	No	Include	Include			
ID44	anses	Intentionell	yes			5.0%							Intentional	Yes	Include	Exclude	NaN	NaN	
ID141	bör	Epistemisk	No	"Det är rimligt att"									Modal	No	Include	Exclude			
ID136	borde	Epistemic	No	"Det är rimligt att"	centrala_modala_hjälpverb	0.0%	100.0%						Modal	No	Include	Exclude	NaN	NaN	
ID172	hinna med	Potentiell	Yes										Potential	No	Include	Exclude			
ID137	måtte	Epistemic	No		övriga_modala_verb	0.0%	100.0%						Modal	No	Include	Exclude			
ID140	skall	Epistemic	No	"Det sägs att"									Modal	No	Include	Exclude			
ID14	vänta sig	Fruktan_mm / Reflexivt	Yes										Emotion	No	Include	Exclude			
ID173	vara i stånd	Potentiell	Yes										Potential	No	Include	Exclude			
ID57	ägna ngt	Direkt_objekt	Yes	Rare									Intervening_element	No	Exclude	Exclude			
ID102	ålägga ngn	Indirekt_objekt	Yes								ingen	Yes_but_omission_possible	Intervening_element	Yes	Exclude	Exclude			
ID157	åligga										ingen	Yes_but_omission_possible	Other	Yes	Exclude	Exclude			
ID103	anbefalla ngn	Indirekt_objekt	Yes								ingen	Yes_but_omission_possible	Intervening_element	Yes	Exclude	Exclude			
ID158	anhålla										ingen	Yes_but_omission_possible	Other	Yes	Exclude	Exclude			
ID114	anmoda ngn										ingen	Yes_but_omission_possible	Intervening_element	Yes	Exclude	Exclude			
ID61	anvisa ngn	Indirekt_objekt	Yes								ingen		Intervening_element	No	Exclude	Exclude			
ID152	ärna										ingen	Optional	Other	Yes	Exclude	Exclude			
ID58	åsätta ngt	Direkt_objekt	Yes	Rare									Intervening_element	No	Exclude	Exclude			
ID92	åta sig	Reflexivt	Yes										Intervening_element	No	Exclude	Exclude			
ID153	bedja										ingen	Optional	Other	Yes	Exclude	Exclude			
ID104	befalla ngn	Indirekt_objekt	Yes								ingen	Yes_but_omission_possible	Intervening_element	Yes	Exclude	Exclude			
ID71	begära av ngn	Indirekt_objekt_adverbial	Yes										Intervening_element	No	Exclude	Exclude			
ID167	behövas					5.0%							Other	Yes	Exclude	Exclude			
ID62	beordra ngn	Indirekt_objekt	Yes										Intervening_element	No	Exclude	Exclude			
ID154	bjuda										ingen	Optional	Other	Yes	Exclude	Exclude			
ID80	bry sig om	Initiativ	Yes										Intervening_element	No	Exclude	Exclude			
ID155	djärvas										ingen	Optional	Other	Yes	Exclude	Exclude			
ID156	drista										ingen	Optional	Other	Yes	Exclude	Exclude			
ID101	drista sig										ingen	Optional	Intervening_element	Yes	Exclude	Exclude			
ID159	dröja										ingen	Yes_but_omission_possible	Other	Yes	Exclude	Exclude			
ID105	erbjuda ngn	Indirekt_objekt	Yes								ingen	Yes_but_omission_possible	Intervening_element	Yes	Exclude	Exclude			
ID124	erbjuda sig	Reflexivt	Optional										Intervening_element	Yes	Exclude	Exclude			
ID12	få	Ingressiv_aktionsart	No	t.ex. få se, få höra, få veta	övriga_modala_verb	1.0%	99.0%				ingen	No_without_exception	Collocation	No	Exclude	Exclude			
ID54	få lov	Deontisk	Yes	t.ex. bilen får inte lov att stå här									Intervening_element	No	Exclude	Exclude			
ID115	få ngn										ingen	Yes_but_omission_possible	Intervening_element	Yes	Exclude	Exclude			
