"word"	"Totalt"	"SVT nyheter 2017"
"förbjudas"	"2"	"2"
"förbjuda"	"2"	"2"
"färdigställas"	"2"	"2"
"färdas"	"2"	"2"
"fullfölja"	"2"	"2"
"frågas"	"2"	"2"
"frikännas"	"2"	"2"
"frigöra"	"2"	"2"
"framföras"	"2"	"2"
"fraktas"	"2"	"2"
"flyta"	"2"	"2"
"finns"	"2"	"2"
"filma"	"2"	"2"
"fastställa"	"2"	"2"
"fasas"	"2"	"2"
"fasa"	"2"	"2"
"explodera"	"2"	"2"
"etableras"	"2"	"2"
"efterlysa"	"2"	"2"
"dämpas"	"2"	"2"
"droppa"	"2"	"2"
"direktsända"	"2"	"2"
"demonstrera"	"2"	"2"
"delge"	"2"	"2"
"debatteras"	"2"	"2"
"cykla"	"2"	"2"
"bärga"	"2"	"2"
"bryta"	"2"	"2"
"bokas"	"2"	"2"
"blicka"	"2"	"2"
"binda"	"2"	"2"
"bevittna"	"2"	"2"
"bestämmas"	"2"	"2"
"beskriva"	"2"	"2"
"besiktas"	"2"	"2"
"benämnas"	"2"	"2"
"bemöta"	"2"	"2"
"bebyggas"	"2"	"2"
"balanseras"	"2"	"2"
"backa"	"2"	"2"
"axla"	"2"	"2"
"avverkas"	"2"	"2"
"avsätta"	"2"	"2"
"avspeglas"	"2"	"2"
"avslås"	"2"	"2"
"avbrytas"	"2"	"2"
"avbryta"	"2"	"2"
"anföra"	"2"	"2"
"övervakas"	"1"	"1"
"överträffas"	"1"	"1"
"övertas"	"1"	"1"
"överraska"	"1"	"1"
"överpumpas"	"1"	"1"
"överprövas"	"1"	"1"
"överlåta"	"1"	"1"
"överges"	"1"	"1"
"överensstämma"	"1"	"1"
"äska"	"1"	"1"
"återvinna"	"1"	"1"
"återuppta"	"1"	"1"
"återupprätta"	"1"	"1"
"återuppbyggas"	"1"	"1"
"återstartas"	"1"	"1"
"återskapas"	"1"	"1"
"återremmiteras"	"1"	"1"
"återförenas"	"1"	"1"
"återfå"	"1"	"1"
"återfinnas"	"1"	"1"
"återbyggas"	"1"	"1"
"återanvända"	"1"	"1"
"åtalsanmäla"	"1"	"1"
"ångra"	"1"	"1"
"yttra"	"1"	"1"
"yrkas"	"1"	"1"
"vätta"	"1"	"1"
"värna"	"1"	"1"
"värma"	"1"	"1"
