"lemma"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"	"SVT nyheter okänt datum"
"föra"	"461"	"1"	"8"	"12"	"9"	"21"	"15"	"25"	"18"	"20"	"27"	"24"	"42"	"50"	"48"	"35"	"29"	"26"	"16"	"31"	"4"	"0"
"stiga"	"438"	"4"	"10"	"11"	"13"	"25"	"34"	"31"	"31"	"14"	"36"	"22"	"36"	"29"	"29"	"30"	"17"	"16"	"11"	"24"	"15"	"0"
"skapa"	"434"	"0"	"6"	"12"	"6"	"12"	"28"	"25"	"19"	"14"	"16"	"28"	"36"	"68"	"45"	"27"	"24"	"22"	"23"	"19"	"4"	"0"
"äga_rum"	"428"	"1"	"10"	"4"	"9"	"6"	"22"	"14"	"17"	"20"	"23"	"36"	"28"	"43"	"26"	"35"	"36"	"31"	"29"	"20"	"18"	"0"
"räcka"	"428"	"0"	"7"	"3"	"4"	"15"	"16"	"18"	"12"	"18"	"20"	"20"	"38"	"41"	"34"	"31"	"27"	"63"	"28"	"25"	"8"	"0"
"skriva"	"427"	"0"	"10"	"4"	"9"	"11"	"14"	"16"	"11"	"14"	"23"	"23"	"39"	"35"	"41"	"41"	"41"	"45"	"26"	"17"	"7"	"0"
"diskutera"	"426"	"1"	"9"	"11"	"14"	"18"	"19"	"20"	"16"	"12"	"35"	"26"	"35"	"35"	"40"	"30"	"31"	"15"	"17"	"28"	"14"	"0"
"agera"	"421"	"0"	"4"	"6"	"4"	"14"	"14"	"12"	"29"	"10"	"16"	"30"	"34"	"41"	"43"	"36"	"28"	"30"	"28"	"29"	"13"	"0"
"känna"	"420"	"0"	"7"	"11"	"4"	"9"	"12"	"23"	"17"	"20"	"24"	"27"	"28"	"46"	"45"	"32"	"32"	"30"	"22"	"14"	"17"	"0"
"växa"	"418"	"0"	"7"	"5"	"14"	"12"	"15"	"12"	"27"	"17"	"24"	"43"	"36"	"36"	"41"	"31"	"31"	"19"	"18"	"16"	"14"	"0"
"vara_med"	"418"	"0"	"6"	"5"	"7"	"15"	"14"	"15"	"19"	"21"	"30"	"20"	"32"	"43"	"36"	"27"	"27"	"37"	"28"	"27"	"9"	"0"
"införa"	"415"	"0"	"8"	"9"	"14"	"16"	"22"	"12"	"10"	"13"	"12"	"26"	"29"	"44"	"44"	"42"	"33"	"28"	"24"	"25"	"4"	"0"
"bestå"	"412"	"0"	"7"	"11"	"15"	"14"	"18"	"24"	"11"	"16"	"15"	"31"	"28"	"44"	"38"	"31"	"24"	"22"	"28"	"25"	"10"	"0"
"åtala"	"407"	"5"	"14"	"20"	"13"	"24"	"28"	"30"	"23"	"27"	"21"	"32"	"35"	"21"	"19"	"22"	"20"	"24"	"16"	"8"	"5"	"0"
"ändra"	"404"	"1"	"6"	"10"	"6"	"10"	"13"	"15"	"14"	"15"	"30"	"31"	"35"	"35"	"41"	"31"	"21"	"34"	"18"	"20"	"18"	"0"
"vidta"	"396"	"1"	"5"	"11"	"10"	"10"	"12"	"7"	"17"	"14"	"18"	"22"	"23"	"42"	"46"	"44"	"27"	"32"	"25"	"23"	"7"	"0"
"söka"	"396"	"1"	"7"	"10"	"8"	"10"	"17"	"8"	"22"	"20"	"25"	"31"	"42"	"38"	"39"	"29"	"20"	"24"	"18"	"24"	"3"	"0"
"utveckla"	"380"	"0"	"5"	"7"	"11"	"11"	"18"	"16"	"13"	"9"	"11"	"30"	"22"	"26"	"31"	"31"	"23"	"47"	"32"	"23"	"14"	"0"
"upprätta"	"380"	"0"	"1"	"0"	"2"	"3"	"4"	"4"	"5"	"4"	"11"	"14"	"44"	"47"	"51"	"31"	"56"	"41"	"18"	"27"	"17"	"0"
