word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
börjar odla	9		0	0	0	1	0	0	1	0	0	1	0	2	2	0	0	0	0	1	0	1
börjar dö	9		0	0	0	1	0	0	1	0	0	1	0	1	0	2	1	1	1	0	0	0
börjar servera	9		0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	2	2	0	0
börjar vinna	9		0	0	0	0	1	0	0	1	1	2	0	0	1	0	0	0	1	1	0	1
börjar vackla	9		0	0	0	0	1	0	1	0	1	1	0	0	1	2	1	0	1	0	0	0
börjar bromsa	9		0	0	0	0	0	2	0	0	0	2	0	2	0	1	0	1	1	0	0	0
börjar skapa	9		0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	0	2	0	1	0
börjar ruttna	9		0	0	0	0	0	1	1	0	0	2	1	1	1	0	1	0	0	0	0	1
börjar driva	9		0	0	0	0	0	1	2	0	0	0	0	3	1	1	0	1	0	0	0	0
börjar anpassa	9		0	0	0	0	0	0	2	0	0	1	0	1	0	1	1	1	1	0	1	0
börjar samtala	9		0	0	0	0	0	0	1	0	0	0	1	1	2	0	3	1	0	0	0	0
börjar luta	9		0	0	0	0	0	0	1	2	0	1	1	0	1	1	1	1	0	0	0	0
börjar hantera	9		0	0	0	0	0	0	1	0	0	0	0	2	1	0	2	1	0	1	1	0
börjar koka	9		0	0	0	0	0	0	0	3	0	0	0	0	1	3	1	0	0	1	0	0
börjar undersöka	9		0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	0	1	0	1	1
börjar låta	9		0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	0	1	2
börjar twittra	9		0	0	0	0	0	0	0	0	4	2	0	0	2	1	0	0	0	0	0	0
börjar kolla	9		0	0	0	0	0	0	0	0	0	1	0	1	2	0	2	1	2	0	0	0
börjar trycka	9		0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	2	2	0	0
börjar grönska	9		0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	4	0	0	1
börjar suga	8		0	1	0	0	0	0	1	0	0	0	0	2	1	1	0	1	0	1	0	0
börjar rösta	8		0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	2	0	0	1	0
börjar fatta	8		0	0	3	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0
börjar bilda	8		0	0	0	1	0	0	0	1	0	0	0	0	1	2	1	1	0	1	0	0
börjar avtjäna	8		0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0
börjar smyga	8		0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	2	1	0	0	0
börjar plana	8		0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	3	1	0	0
börjar anställa	8		0	0	0	0	0	2	0	0	1	0	0	1	2	0	0	0	0	2	0	0
börjar renovera	8		0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	2	0	1
börjar operera	8		0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	2	0	1	0	0
börjar skälla	8		0	0	0	0	0	0	1	1	0	1	1	1	2	0	0	1	0	0	0	0
börjar införa	8		0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1
börjar fuska	8		0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0	1
börjar efterfråga	8		0	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	1	0	1	0
börjar droppa	8		0	0	0	0	0	0	1	0	2	0	1	0	2	0	0	1	1	0	0	0
