verb2	abs	ipm
fantisera	3	0.003697907293370475
bekänna	3	0.003697907293370475
träna	3	0.003697907293370475
tumma	3	0.003697907293370475
stötta	3	0.003697907293370475
överraska	3	0.003697907293370475
säja	3	0.003697907293370475
reta	3	0.003697907293370475
avisera	3	0.003697907293370475
tävla	3	0.003697907293370475
kommentera	3	0.003697907293370475
plantera	3	0.003697907293370475
förhålla	3	0.003697907293370475
tolka	3	0.003697907293370475
söka	3	0.003697907293370475
rulla	3	0.003697907293370475
gambla	3	0.003697907293370475
utöva	3	0.003697907293370475
”	3	0.003697907293370475
rensa	3	0.003697907293370475
gråta	3	0.003697907293370475
tilltala	3	0.003697907293370475
offentliggöra	3	0.003697907293370475
skilja	3	0.003697907293370475
rusta	3	0.003697907293370475
beteckna	3	0.003697907293370475
undvika	3	0.003697907293370475
skära	3	0.003697907293370475
varna	3	0.003697907293370475
reflektera	3	0.003697907293370475
trampa	3	0.003697907293370475
samtala	2	0.0024652715289136496
påminna	2	0.0024652715289136496
omfamna	2	0.0024652715289136496
medge	2	0.0024652715289136496
lagstifta	2	0.0024652715289136496
hota	2	0.0024652715289136496
försämra	2	0.0024652715289136496
förbjuda	2	0.0024652715289136496
analysera	2	0.0024652715289136496
rätta	2	0.0024652715289136496
åtala	2	0.0024652715289136496
uppskatta	2	0.0024652715289136496
skryta	2	0.0024652715289136496
rycka	2	0.0024652715289136496
profilera	2	0.0024652715289136496
operera	2	0.0024652715289136496
förhandla	2	0.0024652715289136496
dö	2	0.0024652715289136496
tillföra	2	0.0024652715289136496
skissa	2	0.0024652715289136496
samarbeta	2	0.0024652715289136496
koppla	2	0.0024652715289136496
förflytta	2	0.0024652715289136496
fingra	2	0.0024652715289136496
finansiera	2	0.0024652715289136496
begära	2	0.0024652715289136496
begränsa	2	0.0024652715289136496
annonsera	2	0.0024652715289136496
stryka	2	0.0024652715289136496
variera	2	0.0024652715289136496
omfatta	2	0.0024652715289136496
käfta	2	0.0024652715289136496
glömma	2	0.0024652715289136496
bestiga	2	0.0024652715289136496
upptäcka	2	0.0024652715289136496
tafsa	2	0.0024652715289136496
servera	2	0.0024652715289136496
provsitta	2	0.0024652715289136496
mäta	2	0.0024652715289136496
göra	2	0.0024652715289136496
förvänta	2	0.0024652715289136496
äventyra	2	0.0024652715289136496
skita	2	0.0024652715289136496
resonera	2	0.0024652715289136496
stämpla	2	0.0024652715289136496
smälla	2	0.0024652715289136496
kritisera	2	0.0024652715289136496
aktualisera	2	0.0024652715289136496
översätta	2	0.0024652715289136496
spegla	2	0.0024652715289136496
odla	2	0.0024652715289136496
njuta	2	0.0024652715289136496
marknadsföra	2	0.0024652715289136496
överklaga	2	0.0024652715289136496
stiga	2	0.0024652715289136496
ladda	2	0.0024652715289136496
erkänna	2	0.0024652715289136496
återgå	2	0.0024652715289136496
uppleva	2	0.0024652715289136496
kliva	2	0.0024652715289136496
fastslå	2	0.0024652715289136496
ägna	2	0.0024652715289136496
vägra	2	0.0024652715289136496
sadla	2	0.0024652715289136496
